Date (UTC),File Name,Original Size (B),Optimized To (B),Savings (%)
1/6/2015 2:43:39 AM,images/Guide%20Service.gif,2207,1551,29.7
1/6/2015 2:43:39 AM,images/Fishing%20Background%205.gif,8770,8758,0.1
1/6/2015 2:43:39 AM,images/Find%20Us.gif,1758,1124,36.1
1/6/2015 2:43:40 AM,images/Colored_Logo.gif,110938,108962,1.8
1/6/2015 2:43:40 AM,images/Bait.gif,2124,1467,30.9
1/6/2015 2:43:40 AM,images/9.jpg,33986,31746,6.6
1/6/2015 2:43:40 AM,images/8.jpg,37596,32652,13.2
1/6/2015 2:43:40 AM,images/7.jpg,37013,33866,8.5
1/6/2015 2:43:40 AM,images/6.jpg,32783,29703,9.4
1/6/2015 2:43:41 AM,images/5.jpg,57182,55157,3.5
1/6/2015 2:43:41 AM,images/4.jpg,50481,47790,5.3
1/6/2015 2:43:41 AM,images/3.jpg,29204,24523,16.0
1/6/2015 2:43:41 AM,images/2.jpg,26439,22790,13.8
1/6/2015 2:43:41 AM,images/1.jpg,50268,46555,7.4
1/6/2015 2:43:44 AM,images/index2.gif,4713,3777,19.9
1/6/2015 2:43:44 AM,images/contac3.gif,4713,3777,19.9
1/6/2015 2:43:45 AM,images/Photos/Walleyes.jpg,31013,29027,6.4
